author,comment,likes,published_at
@joekarman2611,Is Thor going to die?😟,0,2026-01-20T05:19:14Z
@Martno_01,"Somebody saw the 1e : 17ber : 02020???

Whats that mean?",0,2026-01-20T05:05:23Z
@Julzrulz-n5b,"“Are you Thor, god of Hammers?” 😭 Please Odin, grant him the Odin Force and the power of the Runes so he can fight one last time with Thunder and not lighting and sparkles. 😭",1,2026-01-20T04:56:46Z
@itsBihariboy45,"What if 
bring me Doom 👀",1,2026-01-20T04:26:28Z
@kevinalford5933,when you’re solo tanking on thor in rivals,0,2026-01-20T01:20:38Z
@scottreacher,Watiki era Thor is OVER 🫨🫨🥳🥳🥳,0,2026-01-20T00:20:51Z
@aki20,"This, this is the version of Thor I’ve always wanted to see 🥰",1,2026-01-19T22:37:28Z
@Dinario100,Search on Google for everything about MARVEL 1/17/2020. This appears briefly at the end of the trailer.,0,2026-01-19T20:15:06Z
@johnvictor041,My EX Will Return In Avengers: Doomsday | December 18 2026,1,2026-01-19T19:11:45Z
@mpcamposassis,didn't he lost his eye?,0,2026-01-19T17:53:25Z
@vampira.regina,"“Return home to her, not as a warrior, but as warmth. To teach her not battle, but stillness.”

✍️🔥",0,2026-01-19T17:47:44Z
@experience.t.y1832,What's the hidden detail ? Did anyone find it out?,0,2026-01-19T15:58:59Z
@carlos-l1p6o,Finally a real thor ! A god! Not a kid😊,0,2026-01-19T14:47:47Z
@hendriknainggolan3719,I thought he's praying to Jesus 😂,0,2026-01-19T12:22:13Z
@А.Г-х5у,"THIS IS WHAT THOR HAVE TO BE! Serious, dramatic, leader who will sacrifice everything, strongest protector.GIVE HIM FULL HIGH POWER AS HE DESERVES AS HE SHOULD BE",2,2026-01-19T10:50:42Z
@purnimarohini7480,"The ""THE GOD OF THUNDER"" is asking for strength you all know what terrible is about to happen.....⚡",0,2026-01-19T10:48:51Z
@SimeonSamuel7878,Charlie kirk will return in Doomsday,1,2026-01-19T10:47:54Z
@BoatIsBoat,"Avengers is no longer just the title of a team assembled in 2012, it is now the title that represents the heroes of Marvel as a whole.",9,2026-01-19T07:05:45Z
@donovan8530,"""The sun will shine on us again"" - Loki",1,2026-01-19T05:16:08Z
@team3t769,We got Avengers: Doomsday before GTA 6,2,2026-01-19T04:38:03Z
@TrentWildman-g1u,Thor prince of thunder!!!!!!!!,1,2026-01-19T04:00:17Z
@Deathslayer-fk5hi,Why do all of these new avengers doomsday trailers all feel ai generated,1,2026-01-19T00:59:54Z
@capitalroom,is this gonna be a 4 hour movie or what,1,2026-01-18T23:41:18Z
@reeceontwizzy,Thor acting like kratos rn,29,2026-01-18T22:55:02Z
@CrissyQ13,ITS COMING OUT ON MY BDAY AAAAAAAAAA,0,2026-01-18T21:19:13Z
@clarie8486,He's got his infinity war haircut!!,0,2026-01-18T21:01:32Z
@kuroneko3451,"So just throwing this theory out there. Anyone catch the notes at the ends of the trailer where it says ""Thor will return..."" its a single note. All the other trailers they played their theme or multiple notes like in the X-men Trailer. Will this be Thor final battle or foreshadowing?",1,2026-01-18T20:04:56Z
@stevinraphel,His one eye?,0,2026-01-18T19:29:39Z
@SageerBhatti-n2w,"_Please listen creators_
I've been watching your movies since my childhood now im 20 years old. This is a request by a fan please include hulk in avengers doomsday. 😢",0,2026-01-18T18:40:15Z
@ArkliteDC,"Please for the love of God Marvel bring back a serious Thor. He is such a better character when he actually *acts* like the God of Thunder rather than a hole-in-the-wall comedian. Bring back the seriousness of the Avengers as a whole. A well placed, well timed joke here and there is fine, but we have seen things go way too far. I want to like your products again.",1,2026-01-18T18:37:13Z
@murrayrothtard6072,Please don’t just make fun of him the whole movie like the last few.,0,2026-01-18T18:17:07Z
@adjav6902,Can we agree that this is the real continuation of thor’s character development and that thor love & thunder is not canon?,2,2026-01-18T18:06:48Z
@RoarWithin3000,How is audience reaction,0,2026-01-18T16:41:08Z
@TorridPrime217,No one is actually excited for this movie. Its all just bots,0,2026-01-18T16:24:22Z
@maxcbaumann,THIS MOVIE WILL FLOP EVERY REAL MARVEL FAN KNOWS THAT,0,2026-01-18T16:16:32Z
@justinwainaina-n9c,"If you see Thor praying, just know that battle will be epic.",0,2026-01-18T16:10:55Z
@Truther24,"“Lend to me the strength of the all-fathers, so that I may fight once more”",0,2026-01-18T16:04:20Z
@WhataStoner,"Thor praying?!?!? Oh the Russo’s made Doom, DOOM!",1,2026-01-18T14:59:52Z
@Kingstar-_ry2,"That Thor asks for help, then what must doom have done to him.",1,2026-01-18T12:20:41Z
@Voroniirijeglaz,"We finally will know, why Thor was crying",1,2026-01-18T11:41:49Z
@XrayDVD,Where’s our Guardians of the Galaxy?,3,2026-01-18T08:06:35Z
@Bruhmoment1962,Doom take away his powers :( He's unworthy Thor rn.,1,2026-01-18T08:06:16Z
